Threads,Time(ms),SpeedUp,Efficiency,TestRun,BatchSize,Code
1,1046240,1,100%,1,64,cpu
2,532542,1.96,98.23%,1,64,cpu
4,276197,3.79,94.7%,1,64,cpu
8,146646,7.13,89.18%,1,64,cpu
16,83861,12.48,78.1%,1,64,cpu
1,1051932,1,100%,2,64,cpu
2,538646,1.95,97.65%,2,64,cpu
4,280751,3.75,93.67%,2,64,cpu
8,146638,7.17,89.67%,2,64,cpu
16,84787,12.41,77.54%,2,64,cpu
1,1052776,1,100%,3,128,cpu
2,534328,1.97,98.51%,3,128,cpu
4,277455,3.79,94.865%,3,128,cpu
8,145521,7.23,90.43%,3,128,cpu
16,82089,12.82,80.16%,3,128,cpu
1,1050552,1,100%,4,512,cpu
2,535115,1.96,98.16%,4,512,cpu
4,277583,3.78,94.62%,4,512,cpu
8,145032,7.24,90.54%,4,512,cpu
16,81165,12.94,80.9%,4,512,cpu
,8915,,,,64,gpu
,5936,,,,128,gpu
,5652,,,,256,gpu
,5026,,,,512,gpu
,5047,,,,1024,gpu
,5008,,,,2048,gpu
